igr,municipio,situacao,fonte_referencia,observacao_igr
Encantos do Sul,Rio Fortuna,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Sangão,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Santa Rosa de Lima,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,São Ludgero,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,São Martinho,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Siderópolis,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Treviso,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Treze de Maio,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Tubarão,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Urussanga,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Grande Florianópolis,Águas Mornas,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Alfredo Wagner,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Angelina,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Anitápolis,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Antônio Carlos,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Biguaçu,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Canelinha,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Florianópolis,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Garopaba,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Governador Celso Ramos,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Leoberto Leal,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Major Gercino,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Nova Trento,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Palhoça,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Paulo Lopes,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Rancho Queimado,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Santo Amaro da Imperatriz,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,São Bonifácio,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,São João Batista,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,São José,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,São Pedro de Alcântara,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Florianópolis,Tijucas,IGR/região turística,https://turismo.granfpolis.org.br/grande-florianopolis/; https://granfpolis.org.br/municipios/; https://www.cosemssc.org.br/macrorregioes/grande-florianopolis/,"Lista territorial institucional de 22 municípios; o Mapa do Turismo retorna subconjunto variável, atualmente 16."
Grande Oeste,Abelardo Luz,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Arabutã,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Arvoredo,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Bom Jesus,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Bom Jesus do Oeste,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Caminhos da Fronteira,Campo Erê,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Chapecó,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Cordilheira Alta,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Coronel Freitas,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Coronel Martins,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Entre Rios,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Faxinal dos Guedes,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Galvão,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Guatambú,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Ipuaçu,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Jupiá ,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Lajeado Grande,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Lindóia do Sul,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Marema,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Novo Horizonte,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Ouro Verde,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Paial,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Passos Maia,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Ponte Serrada,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Romelândia,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Saltinho,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Santa Terezinha do Progresso,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Alto Uruguai Catarinense,Seara,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,São Bernardino,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,São Domingos,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,São Miguel da Boa Vista,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Tigrinhos,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
Grande Oeste,Vargeão,IGR/região turística,https://www.camaranovohorizonte.sc.gov.br/proposicoes/Autografos/0/1/0/2209; https://sc.agenciasebrae.com.br/economia-e-politica/encantos-do-turismo-rural-podem-ser-conhecidos-no-estande-do-sebrae-sc/; https://www.mapa.turismo.gov.br/mapa/rest/publico/regionalizacao/listar/regioes-turisticas/regiao?nuRegiao=4,Lista nominal de 35 adotada de fonte municipal de 2025; outra fonte de 2025 troca Campo Erê/Seara por Ipumirim/São Lourenço do Oeste.
